RndUniform,NPUniform
54,40,63,77,6,20,24,7,3.0
51,56,60,31,9,14,26,10,3.459432
50,41,57,68,1,7,7,21,4.459432
57,32,48,55,5,41,0,22,4.523562
42,34,37,76,1,1,28,8,3.169925
35,38,25,42,4,1,8,22,4.523562
62,51,64,48,15,11,6,16,4.087463
31,52,37,31,3,1,44,6,2.807355
54,59,52,18,6,0,5,26,4.754888
48,71,54,41,3,28,5,2,1.584963
27,35,83,35,27,17,29,18,4.247928
38,45,27,44,23,18,4,32,5.044394
67,52,59,43,4,15,72,6,2.807355
35,60,36,55,11,34,4,43,5.459432
38,38,72,44,4,5,0,13,3.807355
38,53,54,22,12,15,15,63,6.0
41,50,40,53,5,6,69,37,5.247928
45,43,42,43,2,21,1,0,0.0
50,40,58,44,16,22,9,12,3.70044
53,62,37,48,32,8,28,14,3.906891
38,28,37,58,14,4,5,18,4.247928
54,42,62,73,12,28,12,42,5.426265
32,39,66,48,29,38,27,8,3.169925
48,34,33,98,3,7,16,23,4.584963
62,56,55,50,34,12,7,34,5.129283
63,47,29,39,2,5,7,15,4.0
71,52,60,49,3,6,34,16,4.087463
50,65,63,37,0,0,10,61,5.954196
60,55,70,8,14,15,9,11,3.584963
39,44,88,12,48,0,3,47,5.584963
63,33,56,43,0,0,0,15,4.0
34,51,38,14,2,8,7,21,4.459432
48,41,35,81,1,23,21,38,5.285402
47,52,31,78,0,13,6,9,3.321928
44,30,79,31,8,14,2,2,1.584963
24,64,56,48,2,13,9,9,3.321928
45,66,38,29,1,4,22,9,3.321928
65,46,51,34,14,17,17,2,1.584963
51,61,54,23,10,2,5,41,5.392317
44,48,35,55,1,3,10,17,4.169925
40,50,70,66,5,8,15,6,2.807355
50,40,56,74,3,16,0,31,5.0
52,52,53,53,1,8,0,88,6.475733
36,71,53,41,9,10,9,18,4.247928
61,39,60,5,18,2,1,31,5.0
45,53,79,71,5,37,3,14,3.906891
59,66,26,51,13,9,0,35,5.169925
59,32,25,57,4,0,53,8,3.169925
45,57,55,55,28,21,2,2,1.584963
63,51,46,51,0,9,6,38,5.285402
37,48,35,55,26,1,22,8,3.169925
41,50,61,50,23,36,9,69,6.129283
53,40,55,56,14,5,6,36,5.209453
38,47,58,32,1,24,2,28,4.857981
61,45,61,74,7,1,16,19,4.321928
44,56,36,32,29,1,14,25,4.70044
40,46,52,63,5,8,14,4,2.321928
63,53,73,37,15,1,42,9,3.321928
55,58,33,34,2,5,8,10,3.459432
43,39,60,57,13,1,63,43,5.459432
52,44,44,61,1,15,15,11,3.584963
39,46,12,54,0,4,12,0,0.0
52,54,71,63,15,13,7,66,6.066089
46,62,33,72,7,12,3,14,3.906891
44,55,47,16,3,6,86,13,3.807355
53,66,27,71,17,1,33,22,4.523562
33,52,59,18,49,13,74,16,4.087463
62,48,35,50,10,23,24,52,5.72792
41,37,55,73,4,11,7,44,5.491853
42,58,31,69,24,6,15,50,5.672425
39,44,55,36,9,3,8,2,1.584963
52,59,48,65,0,1,19,12,3.70044
83,53,-6,18,2,1,46,60,5.930737
39,54,31,40,17,5,36,7,3.0
59,40,30,50,4,12,14,15,4.0
37,48,46,50,4,8,8,3,2.0
66,54,78,29,6,6,7,5,2.584963
57,48,65,47,16,16,2,8,3.169925
49,45,94,62,2,12,72,7,3.0
64,45,30,26,0,6,14,7,3.0
36,64,70,14,0,1,9,13,3.807355
41,31,58,53,0,24,36,21,4.459432
32,50,51,10,0,5,6,4,2.321928
50,39,40,65,2,4,11,3,2.0
35,37,66,45,10,16,3,11,3.584963
